building-tower-season,RMSE,MAE,MAE_SD,training_time
ESB1_summer,0.5208424052661128,0.2874854088361477,0.4343143456411527,-25.63699603080749
ESB1_fall,0.4877542206683311,0.32297269566741,0.3655035124770997,-24.26187896728516
ESB2_summer,0.4926858167929228,0.3391432816332037,0.3573809572318747,-19.73352599143982
ESB2_fall,0.4828733865024914,0.3321680683016437,0.3504726548436254,-19.145973682403564
Kissam1_summer,0.623269775672301,0.3485508131357385,0.5166986974330553,-43.49951195716858
Kissam1_fall,0.8743457663893128,0.5619677811082564,0.6698303756916197,-26.966081142425537
Kissam2_summer,0.6352706580434141,0.3719430575942815,0.5150021076445503,-45.79479193687439
Kissam2_fall,0.76265072491832,0.45315718921882003,0.6134204839078474,-28.00278377532959
MRB1_summer,1.0269092748886874,0.5109895907952162,0.89074816696491,
MRB1_fall,0.6949975016560955,0.4606701027995892,0.5203888773742482,
MRB2_summer,0.9202688183538664,0.5150887791589086,0.7626127769838427,
MRB2_fall,0.8528118036952466,0.5279402263128935,0.6697515135948775,
